village_id,slug,name,country,lat,lng,execution_title,killing_sites_count,kind_of_place,memorials,period_of_occupation,number_of_victims,other_metadata,witness_interview,historical_note,holocaust_by_bullets,portal_url
1,oleksandriya-rivne-ukraine,Oleksandriya,Ukraine,50.438240,26.192360,Execution of Jews in Oleksandriya,1 Killing site(s),Forest,Yes,1941-1944,"Over 1,000",,"Zoya T., born in 1927, remembers: ""When they arrived, the German soldiers burned the synagogue near the river and set fire to Jewish houses. They were terrible. The Jews tried to take the furniture from their houses so it wouldn’t burn."" (Witness N°1392, interviewed in Oleksandriya, on April 2, 2012).","Oleksandriya is located about 13 km northwest of Rivne.  In 1847, 728 Jews lived in the village and by 1897 the population increased up to 2,154 comprising almost half of the local population.  Due to relocation and immigration of Jews in the 1920s, the population dropped and in 1921 only 1,293 Jews remained in the village. The majority of Jews lived off small trade and handcraft. There were Jews who did farm work. According to the local witnesses, there were two synagogues and one Tarbut school. In 1939, the village was taken over by Soviets as a result of the Molotov-Ribbentrop agreement.  From September 1939, the Jewish school and other working institutions were closed. However, Jews could continue working in their shops. On the eve of the war there were about 1,100 Jews including the refugees from Poland. The village was occupied by Germans on June 29, 1941.","The first killings started a couple of days after the occupation. Thus, as a result of a pogrom organized on July 1-4, 1941 by Germans with active participation of Ukrainian nationalists, the synagogue was burned down, the Jewish homes and shops were plundered, and a few Jews were killed.On July 1931, the first Aktion was conducted by Security police and SD squads arrived from Rivne. During this Aktion about 85 Jews were shot along with the communists. Within the first months of German occupation, all Jews were marked with armbands and yellow distinguishing badges. They were subjected to perform forced labor and were systematically robbed or beaten by the police. One year later, in late July-August, 1942, the Jewish population from was forced to move to one area in the village, close to the banks of the Horyn river, and a closed ghetto was officially created. It numbered about 1,080 inmates. The liquidation of the ghetto began September 21, 1942, and lasted a couple of days. The Jewish men were the first to be shot, then, the following days the remaining women, children and elderly people were rounded-up and taken to the nearby forest. As a result of this Aktion, 903 Jews were shot. About 100 Jews managed to escape, but later the majority was found and killed at the end of October. Only 15 Jews managed to survive the Holocaust.",http://www.yahadmap.org/en/oleksandriya-rivne-ukraine/village-1
2,andrushivka-andrushovka-andruszowka-zhytomyr-ukraine,"Andrushivka (Andrushovka, Andruszowka)",Ukraine,49.595371,29.024940,Execution of Jews in Andrushivka,2 Killing site(s),Forest (1); Forest behind the hospital (2),Yes,1941-1943,About 475,,"Pavel  Z.: ""All the Jews were shot together. There were children, women and men. They were shot in the Krasna Gorka forest, which was not that big at the time. There is a monument there today.“ (Witness N°259, interviewed in Andrushivka in October 2005)","Andrushivka is located 47km (29mi) southeast of Zhytomyr. The first records go back to the end of 18 th century. In 1793, Andrusivka was annexed by the Russian Empire. In 1859, Andrushivka was given town status. The Jewish community was rather small and represented only 10% of the total population. In 1911, 2,359 people lived in Andrushivka, with the Jews only representing a small percentage. The majority of Jews were either merchants or worked in small industries, such as the sugar factory, the distillery, or at the mills. Many Jews were artisans. The community had a synagogue and a cemetery that remains to this day.","Adrushivka was occupied by the Germans on July 10, 1941. By that time, some Jews had managed to evacuate, or, in the case of some young men, were enrolled in the Red Army. Immediately after the Germans’ arrival, all the Jews were registered, forced to wear distinguishing signs and forced to perform different kinds of labor, such as cleaning and farm work, but they continued living in their houses until the creation of the ghetto in the second half of August 1941. Before all the Jews were confined to the ghetto, on August 19, 252 Jews were rounded up and shot in the forest. The execution was carried out by the Germans assisted by local police. The ghetto was liquidated in late April 1942. As a result, 250 Jews were murdered in a pit behind the town’s hospital. Alongside the Jews, some local activists and communists were shot at that site, but in a separate mass grave. Several Jewish skilled workers were the only ones left and were sent to the camp in Berdychiv, where they were killed shortly thereafter, in July 1942. For more information about killings in Berdychiv, please refer to the corresponding profil",http://www.yahadmap.org/en/andrushivka-andrushovka-andruszowka-zhytomyr-ukraine/village-2
3,antoniuky-odesa-ukraine,Antoniuky,Ukraine,47.257118,30.438440,Destruction of Jews from Petrovka in Antoniuky,1 Killing site(s),Pit in cattle cemetery,No,1941-1944,,,"Anna Z. remembers: ""One brought Jews here during the night. Yet, I don’t know where they stayed the night; I think they were gathered in the school’s building because they came from that direction. They were taken during the day. I came outdoors and stayed in my yard watching Jews being taken. While walking they held the children in their arms. They were crying. There were a lot of children. The Jews were taken by Romanians"".(Eyewitness N°1566, interviewed in Antonyuky, on August 11, 2012)",No information available,No information available,http://www.yahadmap.org/en/antoniuky-odesa-ukraine/village-3
4,bakhiv-volyn-ukraine,Bakhiv,Ukraine,51.163071,24.439871,Execution of Jews from the Kovel ghetto in Bakhiv,2 Killing site(s),Forest,Yes,1941-1944,"About 18,000",,"Grygoriy V. explains: “I saw the Jews being brought to the pit dug the night before, near the Jewish cemetery. The pit was dug by the requisitioned. Two guards escorted them. They were forced to get down naked in the pit, where the policemen fired with submachine guns. ” (Testimony n°477, interviewed in Bakhiv, on April 2007)","Bakhiv is located about 100 km (62 miles) southeast of Brest, near Kovel. There is no information available about the Jewish community in Bakhiv. According to some sources, on the eve of the war there were 17, 000 Jews, including refugees from Poland, in Kovel out of 33,000 inhabitants. Kovel and Bakhiv were occupied by the German forces on June 28, 1941.","During the period from June 3 to June 5, 1942, about 10,000 Jews were rounded-up from the Kovel ghetto and taken 7km north of Kovel where they were shot to death in a sand quarry located near to the village of Bakhiv.  The remaining Jews from Kovel were exterminated in two mass aktions . During the first one conducted in August 1942 about 6,500 Jews were murdered; during the second one, carried out in October 1942, another 2,000 found death. In all, about 18,000 Jews were shot in Kovel during WWII.",http://www.yahadmap.org/en/bakhiv-volyn-ukraine/village-4
5,balanivka-balanovka-vinnytsia-ukraine,Balanivka (Balanovka),Ukraine,48.237598,29.263340,Execution of Jews in Balanivka,3 Killing site(s),,Yes,1941-1944,,"{'Investigated by Yahad': '2007', 'Witnesses interviewed': '6'}","Witnesses interviewed: 6. (N°507, 508, 509, 510, 511, 512). Marya K. (N°507): ""I saw columns of Jews crossing the village. I saw some Jews dying of exhaustion. Ukrainians dug a pit in order to bury the Jews who starved, died of exposure or disease.""",,,http://www.yahadmap.org/en/balanivka-balanovka-vinnytsia-ukraine/village-5
7,balyn-balin-khmelnytskyi-ukraine,Balyn (Balin),Ukraine,48.524879,26.392611,Execution of Jews in Balyn,1 Killing site(s),,Yes,1941-1944,Between 150 and 250,,"Mykola S., born in 1925: “The Jews were constantly beaten and humiliated by the Germans, they had to wear Stars of David on their back and chest, and had to perform forced labor, notably at the train station and building electrical posts. They didn’t get anything to eat, and people were forbidden to buy anything from their shops. There was a famine in the ghetto.” (Witness n°YIU/647U, interviewed in Balyn, on August 13, 2008)","Balyn is a small village in the Khmelnytskyi region, western Ukraine, located about 25 km (15 miles) north of Kamienets-Podilsky. It was founded sometime in the 15 th century. Jews started to settle In the village in the 18 th century, but the community remained relatively small until the end of the 19 th century. In 1897, 357 Jews lived in Balyn, comprising 22% of the town’s total population. A synagogue was built in the village around the same time. Most Jews worked as artisans during 19 th century. In the 20 th century, before the war, there was also a Jewish kolkhoz and many Jewish grocery shops. There was only one school in the village, so Jewish and non-Jewish children went to school together. During the Russian Civil War (1918-1920), there was a pogrom carried out in the village. Before the war, in 1926, there were 293 Jews living in Balyn.","Balyn was occupied by German forces on July 10, 1941. As soon as they arrived, they appointed a starost and organized a local police force. The Jewish population immediately began to be persecuted. According to witnesses, the Jews were forbidden from leaving their district, essentially creating an open ghetto in the village. Anyone found outside the ‘ghetto’ was shot. They had to wear yellow patches on their back and chest and were forced to work for the Germans. They were robbed of their valuables and gold and villagers were ordered not to buy anything from their shops, depriving them of any means of income. They were not given any food and soon suffered from famine. In the summer of 1942, a group of Jewish men fit for work were selected and then sent to a camp in Kamienets-Podilsky for forced labor. Later, in September 1942, all remaining Jews (mostly women, children and elderly people) were gathered on the main square and taken by foot to the execution site outside the village. A pit had already been dug by requisitioned locals. According to a witness interviewed by Yahad, the rabbi and his family were short first. After taking off their clothes and jewellery that they had to put on a pile, the Jews had to line up in groups of 5 to 6 people on the edge of the pit, before being shot. The mass grave was filled in by the same villagers who had to dig the pit. After the shooting, some of them stole the Jews’ belongings. In the village the Jewish houses were immediately looted by local villagers, and some of them moved into them with the starost’s authorization. In all, between 150 and 250 Jews were murdered in Balyn during the occupation. Today, there is a memorial dedicated to the victims, marking the location of the mass grave.",http://www.yahadmap.org/en/balyn-balin-khmelnytskyi-ukraine/village-7
11,mariupol-donetsk-ukraine,Mariupol,Ukraine,47.068100,37.263161,Execution of Jews in Berdyanske,1 Killing site(s),,Yes,1941-1943,,{'Witnesses interviewed': '3'},"Witnesses interviewed: 7. (N°1176, 1177, 1179, 1180, 1181, 1183, 1184). Including three eyewitnesses. (N°1179, 1180, 1183). Varvara Ivanovna I. (N°1181): ""The column was guarded by the Germans, who were walking on both sides, with dogs. They wore boots and were armed with machine guns. It was impossible to escape. The people were taken directly towards the ditch.""",,,http://www.yahadmap.org/en/mariupol-donetsk-ukraine/village-11
12,berdychiv-berdichev-barditchev-zhytomyr-ukraine,"Berdychiv (Berdichev, Barditchev)",Ukraine,49.538712,28.344179,Execution of Jews in Berdychiv,7 Killing site(s),Multiple different places,Yes,1941-1944,"About 17,000",,"Mikhail V., born in 1928, a Jewish survivor: “Y. U. : Was ghetto created right after the Germans arrived? Witness : After the newspaper was created, they wrote that all the Jews have to resettle at certain streets. And the names of the streets were written. Not everybody obeyed. But they would find out about it with the help of the local people. So, when on September 15th they gathered the Jews, I was not there, because my mother left me with bread. So, there were wooden pavilions on the market square, they would force the Jews inside. When everybody was there, they would take away those who could not walk, by carts or vehicles. The rest were marched in column . Y.U. : And the streets designated for ghetto, they were located at the center of the town? Witness : The ghetto was more than one street. They knew where they would be executing the Jews, so they were chasing the Jews off the central streets, like Peski, Staromestnaya  and Zagrebelnaya streets. Y. U. : Were those streets located at the center? Witness : Zagrebelnaya it is actually a whole area. Staromestnaya is next to the market. Y. U. : And your house, was it next to the ghetto or at the center? Witness : Our house was next to the market. Y. U. : Where the ghetto was?- Yes. Y.U. : So, you didn’t have to go somewhere? You could stay in your house? Witness : We moved into a house of my mother’s sister Ida , who managed to leave the city. And our house was hit by the bomb, so we moved into her house, which like ours, had three rooms. And then we lived in another house. [...]” (Witness n°2924U, interviewed in Berdychiv, on July 20, 2021).","Berdychiv is located 44 km south of Zhytomyr. The mention of the first Jewish community dates backs to the end of 16 th century. From 1785, Berdychiv was home to Rabbi Levi Yitzhak of Berdychiv, a prominent Hassidic leader, as well as Rabbi Yitzhak Ber Levinzon, a famous advocate for Jewish Enlightenment. In 1899 the Jews represented about 80% of the total population.  During the civil war, the population roughly decreased due to attacks and the change of power. There were several Jewish Yiddish schools, several synagogues, historical cultural center. Until the middle of 1930s, there was a newspaper Der Arbeiter (The Worker) . During the Soviet period, many religious institutions in Berdychiv were closed, and Zionist activity prohibited. The majority of Jews worked in small and medium trade and industry while others lived off handcraft.  On the eve of the war, almost 40% of total population were Jews. The town was occupied by German forces in early July 1941.  By that time, almost 35% of the Jewish population, including refugees from recently annexed Polish territories, evacuated or, in the case of young men, were enrolled in the Soviet army.","During the occupation Berdychiv was a incorporated in the Generalkommissariat Zhitomir. Because of this, there were many different military staff, security police, and Einsatzgruppen squads present in the city, who took active part in the extermination of the Jews. By August 22, 1941, a ghetto had been established in Berdichev, around Yatki area. From August 1941 to June 1942, the Jewish population of Berdychiv was annihilated in a number of murder operations. During every murder operation, the Germans separated Jewish “specialists” needed for labor. Before the establishment of the ghetto about 850 Jews were shot by Waffen SS. The next two big executions were conducted in the early and mid-September 1941. During those executions about 13,000 Jews were taken exterminated. The liquidation of the ghetto was conducted at the end of October –beginning of November, 1941. During the liquidation, all the remaining Jews were first gathered at the monastery and then taken to the village Solotvin where they were shot. At the end of February 1942 about 230 remaining Jews were resettled to the area called Lysa Gora where they stayed in a camp until its total liquidation in June 1942. During its existence, about 700 Jews were resettled there from the surrounding villages, such as Ivanopil, Ruzhyn, Andrushivka.  In a separate operation on April 27, 1942, some seventy Jewish women from mixed families were shot together with their children. The last execution took place in mid-November 1943 and beginning of January 1944 when the last specialists were murdered. For more information about the executions in Adrushivka and Ivanopil please refer to the corresponding profiles",http://www.yahadmap.org/en/berdychiv-berdichev-barditchev-zhytomyr-ukraine/village-12
14,berestechko-volyn-ukraine,Berestechko,Ukraine,50.225269,25.057489,Execution of Jews in Berestechko,1 Killing site(s),,Yes,1941-1944,,,"Maria G. evokes: ""The Jews dug their own pits, accompanied by ten requisitioned Ukrainians. People climbed on trees to watch the execution in spite of the ban. The Germans shot them so that they fell down into the pit."" (Witness N°453, interviewed in Berestechko,  on April 1, 2007).","Berestechko is located 82 kilometers west- southwest of Rivne. 177 shops of the town’s 234 belonged to Jews who were artisans, tailors and furriers.  There were a Jewish school and a cultural center for the Jews in 1937. There were 2,625 Jews living in the town in 1938. The German occupation began on June 23, 1941.","There were two shootings in Berestechko. The first anti-Jewish measures were carried out in August 1941 when the Germans assisted by local Ukrainians executed 300 Jewish men near the local castle. In October 1941, a ghetto surrounded by barbed wire was established. The ghetto population was executed from September 7 to 9, 1942. According to Maria G. (Witness N°453, interviewed in Berestechko on March 31, 2010) during the first shooting, Jews, Gypsies and partisans were shot by the Germans. During the second one, almost 3000 Jews (with a lot of refugees) were shot at 3 kilometers from the town. The Jews were brought by trucks to the execution site. Some of them managed to escape. The Jews had to dig their own grave helped by local Ukrainians who were requisitioned.",http://www.yahadmap.org/en/berestechko-volyn-ukraine/village-14
15,berezhany-brzezany-ternopil-ukraine,Berezhany (Brzezany),Ukraine,49.265720,24.558140,Execution of Jews in Berezhany,3 Killing site(s),Jewish cemetery,Yes,1941-1944,,,"Srefan tells us: ""The Jews were brought in column from the center. They were escorted by two Germans, one with a dog in front of the column, and another at the end. “ (Witness N° 190, interviewed in Berezhany, on August 13, 2005)","Berezhany is a town, situated about 100 km from Lviv and 50 km from Ternopil.  Before the war, this area was a part of Poland. In 1939, there was about 35% of Jewish population in the city.  First, in September 1939, the town was occupied by Soviets, after on July 04, 1941 by German army.","There were several Aktions against the Jews in Berezhany during the German occupation.  The first one was conducted on July 6, 1941, by local Ukrainians as a revenge for the murdered Ukrainian nationalist. In the reality the Ukrainian nationalists were murdered by the Russian secrete services (NKVD) but the Germans presented that as if they were murdered by Jews.  It is known a pogrom. According to the sources, the bodies were buried at the Jewish cemetery by the members of the family in separated graves. Another Aktion was carried out in early October 1941 when about 600 men, mostly professionals and merchants were murdered outside of Berezhany, in the quarry located in the direction of the village Ray. Another big execution was conducted in the middle December 1941, in the Lityatyn forest, on the halfway between Berezhany and Pidhaitsi. This time about 1,000 Jews, mostly the elderly, women, and children, were murdered. All the Aktions were conducted by German Security Police from Ternopil. In the fall 1942, all the remaining Jews from Berzhany as well as from the nearby villages were confined into the ghetto. From the ghetto, several mass deportations of Jews were carried out from the middle September, 1942, to December 04, 1942. In all, about 3.500 Jews were deported to the Belzec camp by the Security Police with the help of local Ukrainian police. In late March and early April, 1943, some Jews from the ghetto were deported to the nearest labor camps or shot at the Jewish cemetery. The last remaining 1400 Jewish, including 300 men, who believed to worked for the Germans, were shot at the Jewish cemetery, situated on the way to the village Ray, on June 12, 1942.",http://www.yahadmap.org/en/berezhany-brzezany-ternopil-ukraine/village-15
