village_id,slug,name,country,lat,lng,date,pending,marker_type,portal_url
1,oleksandriya-rivne-ukraine,Oleksandriya,Ukraine,50.438240,26.192360,,0,2,http://www.yahadmap.org/en/oleksandriya-rivne-ukraine/village-1
2,andrushivka-andrushovka-andruszowka-zhytomyr-ukraine,"Andrushivka (Andrushovka, Andruszowka)",Ukraine,49.595371,29.024940,,0,1,http://www.yahadmap.org/en/andrushivka-andrushovka-andruszowka-zhytomyr-ukraine/village-2
2,andrushivka-andrushovka-andruszowka-zhytomyr-ukraine,"Andrushivka (Andrushovka, Andruszowka)",Ukraine,50.000050,29.014870,,0,1,http://www.yahadmap.org/en/andrushivka-andrushovka-andruszowka-zhytomyr-ukraine/village-2
3,antoniuky-odesa-ukraine,Antoniuky,Ukraine,47.257118,30.438440,,0,1,http://www.yahadmap.org/en/antoniuky-odesa-ukraine/village-3
4,bakhiv-volyn-ukraine,Bakhiv,Ukraine,51.163071,24.439871,,0,2,http://www.yahadmap.org/en/bakhiv-volyn-ukraine/village-4
4,bakhiv-volyn-ukraine,Bakhiv,Ukraine,51.152721,24.444790,,0,1,http://www.yahadmap.org/en/bakhiv-volyn-ukraine/village-4
5,balanivka-balanovka-vinnytsia-ukraine,Balanivka (Balanovka),Ukraine,48.237598,29.263340,2007,0,3,http://www.yahadmap.org/en/balanivka-balanovka-vinnytsia-ukraine/village-5
5,balanivka-balanovka-vinnytsia-ukraine,Balanivka (Balanovka),Ukraine,48.242699,29.241610,2007,0,1,http://www.yahadmap.org/en/balanivka-balanovka-vinnytsia-ukraine/village-5
5,balanivka-balanovka-vinnytsia-ukraine,Balanivka (Balanovka),Ukraine,48.244228,29.226431,2007,0,1,http://www.yahadmap.org/en/balanivka-balanovka-vinnytsia-ukraine/village-5
,,Balaichuk (Balaiciuc),Ukraine,47.050259,30.424730,,1,1,
,,Balaichuk (Balaiciuc),Ukraine,47.056400,30.425819,,1,1,
7,balyn-balin-khmelnytskyi-ukraine,Balyn (Balin),Ukraine,48.524879,26.392611,,0,2,http://www.yahadmap.org/en/balyn-balin-khmelnytskyi-ukraine/village-7
,,Batyatychi,Ukraine,50.075500,24.202400,2004,1,1,
,,Berdyansk,Ukraine,46.466961,36.435501,2007,1,2,
11,mariupol-donetsk-ukraine,Mariupol,Ukraine,47.068100,37.263161,,0,3,http://www.yahadmap.org/en/mariupol-donetsk-ukraine/village-11
12,berdychiv-berdichev-barditchev-zhytomyr-ukraine,"Berdychiv (Berdichev, Barditchev)",Ukraine,49.538712,28.344179,,0,3,http://www.yahadmap.org/en/berdychiv-berdichev-barditchev-zhytomyr-ukraine/village-12
12,berdychiv-berdichev-barditchev-zhytomyr-ukraine,"Berdychiv (Berdichev, Barditchev)",Ukraine,49.533798,28.323271,,0,3,http://www.yahadmap.org/en/berdychiv-berdichev-barditchev-zhytomyr-ukraine/village-12
12,berdychiv-berdichev-barditchev-zhytomyr-ukraine,"Berdychiv (Berdichev, Barditchev)",Ukraine,49.527100,28.322901,,0,3,http://www.yahadmap.org/en/berdychiv-berdichev-barditchev-zhytomyr-ukraine/village-12
12,berdychiv-berdichev-barditchev-zhytomyr-ukraine,"Berdychiv (Berdichev, Barditchev)",Ukraine,49.527740,28.323170,,0,3,http://www.yahadmap.org/en/berdychiv-berdichev-barditchev-zhytomyr-ukraine/village-12
,,Bereshovka (village disappeared),Ukraine,47.368198,31.053379,2006,1,1,
14,berestechko-volyn-ukraine,Berestechko,Ukraine,50.225269,25.057489,,0,1,http://www.yahadmap.org/en/berestechko-volyn-ukraine/village-14
15,berezhany-brzezany-ternopil-ukraine,Berezhany (Brzezany),Ukraine,49.265720,24.558140,,0,2,http://www.yahadmap.org/en/berezhany-brzezany-ternopil-ukraine/village-15
16,berezivka-berezovka-former-jewish-colony-smidovichi-crimea-ukraine,"Berezivka (Berezovka, former Jewish colony Smidovichi)",Ukraine,45.350929,33.225040,,0,1,http://www.yahadmap.org/en/berezivka-berezovka-former-jewish-colony-smidovichi-crimea-ukraine/village-16
17,berezove-rivne-ukraine,Berezove,Ukraine,51.351910,27.191401,2008,0,2,http://www.yahadmap.org/en/berezove-rivne-ukraine/village-17
18,berizky-berizki-vradiivka-mykolaiv-ukraine,Berizky (Berizki)/Vradiivka,Ukraine,47.535461,30.338440,,0,2,http://www.yahadmap.org/en/berizky-berizki-vradiivka-mykolaiv-ukraine/village-18
19,bershad-vinnytsia-ukraine,Bershad,Ukraine,48.215302,29.325809,,0,2,http://www.yahadmap.org/en/bershad-vinnytsia-ukraine/village-19
20,bibrka-bobrka-boyberke-boiberik-lviv-ukraine,"Bibrka (Bobrka, Boyberke, Boiberik)",Ukraine,49.385818,24.167740,,0,1,http://www.yahadmap.org/en/bibrka-bobrka-boyberke-boiberik-lviv-ukraine/village-20
21,bilohirsk-bilogorsk-belogorsk-karasubazar-autonomic-republic-of-crimea-ukraine,"Bilohirsk (Bilogorsk, Belogorsk, Karasubazar)",Ukraine,45.039791,34.367062,,0,2,http://www.yahadmap.org/en/bilohirsk-bilogorsk-belogorsk-karasubazar-autonomic-republic-of-crimea-ukraine/village-21
22,birky-volyn-ukraine,Birky,Ukraine,51.146099,24.031160,,0,2,http://www.yahadmap.org/en/birky-volyn-ukraine/village-22
23,bobrovyy-kut-kherson-ukraine,Bobrovyy Kut,Ukraine,47.037891,32.559299,,0,2,http://www.yahadmap.org/en/bobrovyy-kut-kherson-ukraine/village-23
24,bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine,"Bohdanivka (Bogdanivka, Bogdanovka, Bogdanowka, Bogdanovca)",Ukraine,47.490219,31.090691,,0,3,http://www.yahadmap.org/en/bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine/village-24
24,bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine,"Bohdanivka (Bogdanivka, Bogdanovka, Bogdanowka, Bogdanovca)",Ukraine,47.484570,31.091909,,0,3,http://www.yahadmap.org/en/bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine/village-24
24,bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine,"Bohdanivka (Bogdanivka, Bogdanovka, Bogdanowka, Bogdanovca)",Ukraine,47.483582,31.090790,,0,3,http://www.yahadmap.org/en/bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine/village-24
24,bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine,"Bohdanivka (Bogdanivka, Bogdanovka, Bogdanowka, Bogdanovca)",Ukraine,47.485741,31.090851,,0,1,http://www.yahadmap.org/en/bohdanivka-bogdanivka-bogdanovka-bogdanowka-bogdanovca-mykolaiv-ukraine/village-24
25,bogdanivka-bogdanovka-ternopil-ukraine,Bogdanivka (Bogdanovka),Ukraine,49.334808,26.007429,,0,1,http://www.yahadmap.org/en/bogdanivka-bogdanovka-ternopil-ukraine/village-25
,,Bohdanivske,Ukraine,47.420818,31.053110,,1,1,
27,bondarivka-bondariovka-mykolaiv-ukraine,Bondarivka (Bondariovka),Ukraine,47.168430,31.028891,,0,1,http://www.yahadmap.org/en/bondarivka-bondariovka-mykolaiv-ukraine/village-27
28,boremel-rivne-ukraine,Boremel,Ukraine,50.281750,25.121920,,0,2,http://www.yahadmap.org/en/boremel-rivne-ukraine/village-28
